Open_Time_NY,Open,High,Low,Close
2026-03-02 23:00:00,86.64,87.15,85.46,86.38
2026-03-03 03:00:00,86.32,86.5,85.53,85.56
2026-03-03 07:00:00,85.54,85.57,83.83,84.22
2026-03-03 11:00:00,84.23,84.94,83.14,84.85
2026-03-03 15:00:00,84.92,86.68,84.56,85.3
2026-03-03 19:00:00,85.15,87.28,84.4,87.21
2026-03-03 23:00:00,87.03,87.63,85.51,85.55
2026-03-04 03:00:00,85.64,87.16,85.02,87.16
2026-03-04 07:00:00,87.3,90.95,87.14,89.75
2026-03-04 11:00:00,89.78,92.38,89.01,92.38
2026-03-04 15:00:00,92.75,93.71,91.15,93.63
2026-03-04 19:00:00,93.41,93.62,90.65,91.05
2026-03-04 23:00:00,90.96,91.21,89.84,89.91
2026-03-05 03:00:00,90.01,91.19,89.9,90.13
2026-03-05 07:00:00,90.07,92.68,89.9,91.85
2026-03-05 11:00:00,91.84,92.06,89.12,89.56
2026-03-05 15:00:00,89.54,89.54,88.13,88.88
2026-03-05 19:00:00,88.84,89.7,88.76,88.76
2026-03-05 23:00:00,88.73,89.14,88.36,88.42
2026-03-06 03:00:00,88.4,88.72,87.62,88.72
2026-03-06 07:00:00,88.71,88.71,87.25,87.25
2026-03-06 11:00:00,87.22,87.22,84.31,84.53
2026-03-06 15:00:00,84.57,85.64,83.84,85.25
2026-03-06 19:00:00,85.29,85.3,84.5,84.69
2026-03-06 23:00:00,84.68,84.95,84.39,84.44
2026-03-07 03:00:00,84.47,84.47,83.98,84.27
2026-03-07 07:00:00,84.29,84.78,84.22,84.74
2026-03-07 11:00:00,84.71,84.71,83.64,83.69
2026-03-07 15:00:00,83.74,83.97,82.7,82.7
2026-03-07 19:00:00,82.51,83.26,82.51,83.18
2026-03-07 23:00:00,83.2,83.41,82.4,82.41
2026-03-08 04:00:00,82.39,82.91,81.99,82.89
2026-03-08 08:00:00,82.91,83.89,82.69,82.83
2026-03-08 12:00:00,82.87,82.87,81.64,81.94
2026-03-08 16:00:00,82.0,82.54,81.48,82.4
2026-03-08 20:00:00,82.36,82.68,81.03,81.68
2026-03-09 00:00:00,81.62,83.96,81.62,83.11
2026-03-09 04:00:00,83.11,84.32,82.7,83.13
2026-03-09 08:00:00,83.15,84.43,83.14,83.64
2026-03-09 12:00:00,83.63,85.5,83.63,84.95
2026-03-09 16:00:00,85.09,86.7,84.62,86.12
2026-03-09 20:00:00,86.02,86.25,84.98,84.98
2026-03-10 00:00:00,84.93,86.66,84.93,85.67
2026-03-10 04:00:00,85.62,86.76,85.58,86.6
2026-03-10 08:00:00,86.63,87.36,86.63,86.82
2026-03-10 12:00:00,86.85,88.02,85.43,87.79
2026-03-10 16:00:00,88.08,88.54,85.84,86.0
2026-03-10 20:00:00,86.01,86.28,85.23,85.75
