Open_Time_NY,Open,High,Low,Close
2026-02-28 19:00:00,1946.68,1976.41,1941.29,1965.04
2026-02-28 23:00:00,1964.84,2045.49,1948.34,2023.14
2026-03-01 03:00:00,2023.56,2027.08,1991.04,2005.33
2026-03-01 07:00:00,2007.02,2008.79,1977.39,1984.2
2026-03-01 11:00:00,1983.61,2018.15,1972.87,2006.42
2026-03-01 15:00:00,1991.33,2006.35,1951.07,1953.41
2026-03-01 19:00:00,1953.98,1953.98,1910.44,1938.41
2026-03-01 23:00:00,1939.1,1981.63,1939.1,1974.83
2026-03-02 03:00:00,1972.33,1979.9,1928.49,1940.24
2026-03-02 07:00:00,1940.26,1961.04,1927.06,1949.18
2026-03-02 11:00:00,1947.36,2059.82,1923.84,2041.64
2026-03-02 15:00:00,2047.09,2072.0,2025.92,2042.14
2026-03-02 19:00:00,2042.18,2055.21,2028.0,2029.44
2026-03-02 23:00:00,2027.4,2037.88,2004.95,2008.14
2026-03-03 03:00:00,2008.66,2013.5,1990.67,1995.56
2026-03-03 07:00:00,1995.4,1995.4,1947.44,1962.7
2026-03-03 11:00:00,1962.08,1980.6,1936.81,1962.8
2026-03-03 15:00:00,1968.22,2005.58,1962.49,1988.5
2026-03-03 19:00:00,1986.98,1995.47,1962.77,1982.46
2026-03-03 23:00:00,1981.4,1992.09,1948.58,1955.22
2026-03-04 03:00:00,1960.38,2004.27,1952.9,2001.92
2026-03-04 07:00:00,2005.86,2086.27,2004.63,2055.44
2026-03-04 11:00:00,2055.57,2138.92,2041.29,2138.92
2026-03-04 15:00:00,2150.39,2192.82,2134.0,2184.39
2026-03-04 19:00:00,2179.3,2179.3,2118.24,2125.83
2026-03-04 23:00:00,2127.54,2138.01,2110.19,2113.85
2026-03-05 03:00:00,2120.11,2138.21,2101.63,2101.63
2026-03-05 07:00:00,2103.19,2157.8,2097.28,2137.96
2026-03-05 11:00:00,2138.06,2140.14,2074.71,2087.43
2026-03-05 15:00:00,2084.26,2089.74,2059.19,2076.31
2026-03-05 19:00:00,2075.13,2096.3,2074.51,2074.52
2026-03-05 23:00:00,2073.04,2091.13,2067.77,2082.41
2026-03-06 03:00:00,2083.14,2084.28,2061.49,2083.23
2026-03-06 07:00:00,2082.77,2082.77,2050.44,2053.58
2026-03-06 11:00:00,2050.59,2054.13,1971.14,1971.14
2026-03-06 15:00:00,1977.62,1990.17,1957.7,1982.82
2026-03-06 19:00:00,1984.17,1987.93,1971.39,1980.78
2026-03-06 23:00:00,1978.71,1990.92,1974.29,1980.48
2026-03-07 03:00:00,1980.32,1980.32,1969.34,1980.29
2026-03-07 07:00:00,1982.12,1991.26,1977.11,1990.25
2026-03-07 11:00:00,1988.81,1989.43,1974.44,1980.89
2026-03-07 15:00:00,1981.36,1982.23,1954.27,1954.27
2026-03-07 19:00:00,1954.96,1972.31,1954.96,1969.69
2026-03-07 23:00:00,1969.78,1974.4,1941.97,1947.99
2026-03-08 04:00:00,1947.74,1957.44,1937.37,1954.75
2026-03-08 08:00:00,1955.25,1976.7,1949.27,1951.65
2026-03-08 12:00:00,1951.62,1953.67,1931.27,1939.11
